0,2
1,3
2,1
3,4
4,4
5,4
6,0
7,3
8,2
9,0
10,4
11,0
12,1
13,2
14,4
15,1
16,0
17,1
18,1
19,2
20,0
21,2
22,3
23,3
24,4
25,3
26,4
27,0
28,0
29,0
30,0
31,2
32,4
33,2
34,1
35,3
36,1
37,4
38,1
39,2
40,1
41,0
42,0
43,2
44,2
45,1
46,2
47,0
48,4
49,1
50,4
51,2
52,1
53,3
54,0
55,4
56,3
57,0
58,0
59,0
60,1
61,2
62,3
63,4
64,2
65,4
66,4
67,3
68,0
69,0
70,4
71,4
72,3
73,4
74,2
75,3
76,0
77,0
78,2
79,2
80,2
81,1
82,3
83,2
84,2
85,3
86,2
87,3
88,1
89,2
90,2
91,1
92,0
93,3
94,4
95,3
96,4
97,0
98,2
99,4
100,3
101,2
102,1
103,0
104,4
105,4
106,2
107,4
108,0
109,2
110,2
111,4
112,0
113,4
114,1
115,2
116,0
117,4
118,4
119,4
120,1
121,3
122,4
123,0
124,1
125,3
126,2
127,1
128,0
129,1
130,2
131,2
132,3
133,2
134,1
135,3
136,0
137,3
138,3
139,3
140,4
141,3
142,1
143,1
144,3
145,4
146,4
147,3
148,1
149,2
150,4
151,0
152,3
153,0
154,4
155,4
156,4
157,3
158,3
159,0
160,0
161,3
162,4
163,3
164,1
165,4
166,0
167,4
168,2
169,0
170,2
171,1
172,0
173,1
174,1
175,0
176,4
177,3
178,2
179,4
180,2
181,4
182,4
183,0
184,3
185,3
186,0
187,4
188,3
189,3
190,4
191,4
192,1
193,3
194,0
195,4
196,0
197,4
198,0
199,1
200,1
201,3
202,1
203,0
204,1
205,1
206,4
207,2
208,3
209,4
210,2
211,1
212,2
213,2
214,2
215,3
216,2
217,4
218,0
219,1
220,4
221,2
222,4
223,3
224,1
225,1
226,3
227,1
228,0
229,1
230,1
231,0
232,1
233,4
234,2
235,1
236,2
237,2
238,3
239,2
240,4
241,1
242,3
243,4
244,4
245,0
246,4
247,2
248,3
249,2
250,0
251,3
252,0
253,2
254,0
255,2
256,2
257,2
258,4
259,2
260,0
261,4
262,4
263,2
264,4
265,3
266,0
267,2
268,3
269,4
270,4
271,4
272,1
273,1
274,1
275,4
276,0
277,4
278,0
279,3
280,0
281,2
282,1
283,0
284,2
285,3
286,0
287,4
288,0
289,3
290,2
291,3
292,0
293,4
294,3
295,0
296,2
297,0
298,0
299,1
300,4
301,2
302,2
303,1
304,4
305,3
306,3
307,2
308,4
309,4
310,1
311,2
312,4
313,2
314,2
315,3
316,4
317,3
318,0
319,3
320,1
321,2
322,0
323,3
324,3
325,3
326,1
327,0
328,1
329,2
330,1
331,3
332,2
333,1
334,2
335,4
336,4
337,0
338,3
339,0
340,3
341,2
342,4
343,1
344,1
345,0
346,1
347,3
348,3
349,2
350,1
351,2
352,3
353,1
354,0
355,3
356,3
357,3
358,0
359,3
360,0
361,3
362,1
363,1
364,1
365,0
366,1
367,4
368,3
369,1
370,3
371,1
372,3
373,4
374,3
375,3
376,4
377,1
378,3
379,0
380,0
381,1
382,1
383,4
384,2
385,4
386,3
387,0
388,1
389,4
390,4
391,2
392,3
393,0
394,4
395,1
396,3
397,1
398,2
399,1
400,2
401,2
402,4
403,3
404,0
405,4
406,0
407,0
408,2
409,1
410,0
411,2
412,2
413,2
414,2
415,4
416,0
417,2
418,0
419,2
420,2
421,2
422,4
423,3
424,1
425,1
426,2
427,4
428,2
429,3
430,4
431,2
432,4
433,2
434,1
435,0
436,4
437,1
438,3
439,0
440,3
441,4
442,0
443,1
444,1
445,2
446,4
447,1
448,3
449,1
450,1
451,2
452,1
453,0
454,4
455,4
456,4
457,1
458,1
459,0
460,0
461,0
462,1
463,2
464,3
465,3
466,1
467,2
468,2
469,2
470,1
471,3
472,0
473,2
474,0
475,0
476,3
477,2
478,0
479,3
480,2
481,0
482,0
483,0
484,1
485,2
486,2
487,2
488,0
489,3
490,2
491,3
492,0
493,2
494,4
495,2
496,2
497,0
498,2
499,4
500,4
501,4
502,0
503,0
504,3
505,3
506,4
507,0
508,2
509,3
510,0
511,4
512,4
513,3
514,2
515,0
516,3
517,2
518,1
519,1
520,0
521,2
522,3
523,2
524,1
525,3
526,0
527,4
528,2
529,3
530,2
531,0
532,2
533,0
534,3
535,4
536,1
537,2
538,1
539,4
540,1
541,1
542,3
543,1
544,3
545,4
546,3
547,0
548,1
549,1
550,3
551,2
552,2
553,1
554,0
555,0
556,3
557,0
558,1
559,2
560,0
561,3
562,1
563,4
564,1
565,4
566,0
567,3
568,2
569,0
570,0
571,0
572,4
573,1
574,0
575,2
576,3
577,4
578,4
579,1
580,1
581,3
582,3
583,2
584,4
